<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
LOR-TDG,D,11/03/22,000000,344.8000000,344.8000000,330.0000000,335.9000000,2027
LOR-TDG,D,14/03/22,000000,339.7000000,347.7500000,335.1500000,344.0000000,1848
LOR-TDG,D,15/03/22,000000,343.3500000,347.2500000,334.9500000,345.9500000,1579
LOR-TDG,D,16/03/22,000000,348.3000000,365.0000000,348.1500000,361.5000000,1625
LOR-TDG,D,17/03/22,000000,364.1500000,370.0000000,356.0000000,365.3000000,1315
LOR-TDG,D,18/03/22,000000,364.8000000,366.1500000,351.5000000,364.2000000,2481
LOR-TDG,D,21/03/22,000000,364.0000000,370.0000000,354.0500000,356.5500000,2339
LOR-TDG,D,22/03/22,000000,358.1000000,365.8500000,355.9500000,364.3500000,1776
LOR-TDG,D,23/03/22,000000,366.3500000,367.0000000,355.2000000,357.9500000,1679
LOR-TDG,D,24/03/22,000000,354.0000000,355.5000000,346.8000000,353.0500000,3641
LOR-TDG,D,25/03/22,000000,353.3500000,355.9000000,347.3500000,352.8000000,1540
LOR-TDG,D,28/03/22,000000,351.6000000,358.2000000,351.4500000,356.8000000,2483
LOR-TDG,D,29/03/22,000000,358.0000000,376.0000000,354.8500000,372.9500000,3769
LOR-TDG,D,30/03/22,000000,372.0500000,372.0500000,363.2000000,366.8000000,1333
LOR-TDG,D,31/03/22,000000,365.8500000,372.5500000,362.9500000,363.2500000,1950
LOR-TDG,D,01/04/22,000000,366.0500000,370.2500000,363.2000000,369.8500000,1427
LOR-TDG,D,04/04/22,000000,372.4000000,374.8500000,366.5000000,372.8000000,1492
LOR-TDG,D,05/04/22,000000,371.9000000,384.8500000,371.0000000,377.2500000,7473
LOR-TDG,D,06/04/22,000000,375.8000000,380.0500000,364.1000000,368.0000000,5153
LOR-TDG,D,07/04/22,000000,367.2500000,372.4500000,367.0000000,370.7500000,1928
LOR-TDG,D,08/04/22,000000,370.0000000,372.6000000,365.0000000,368.6000000,1339
