<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
GDAX.BCH-USD,D,09/02/22,000000,335.8400000,348.0000000,328.5500000,346.2100000,25972
GDAX.BCH-USD,D,10/02/22,000000,346.2100000,362.9600000,336.6400000,341.1000000,29427
GDAX.BCH-USD,D,11/02/22,000000,341.0900000,342.0500000,316.7200000,320.8300000,24940
GDAX.BCH-USD,D,12/02/22,000000,320.8300000,330.8400000,312.3700000,330.6400000,21254
GDAX.BCH-USD,D,13/02/22,000000,330.6500000,340.1000000,324.6900000,333.8100000,24093
GDAX.BCH-USD,D,14/02/22,000000,333.9000000,337.9500000,318.4400000,330.5100000,21871
GDAX.BCH-USD,D,15/02/22,000000,330.7700000,345.0500000,329.0500000,343.6900000,21112
GDAX.BCH-USD,D,16/02/22,000000,343.6100000,343.6100000,329.0700000,334.5500000,20719
GDAX.BCH-USD,D,17/02/22,000000,334.5900000,336.5300000,308.8600000,313.1500000,19421
GDAX.BCH-USD,D,18/02/22,000000,313.3900000,319.2400000,306.3200000,310.3300000,16113
GDAX.BCH-USD,D,19/02/22,000000,310.1400000,316.3800000,305.1600000,312.0500000,12603
GDAX.BCH-USD,D,20/02/22,000000,312.1600000,312.7400000,296.7100000,302.8700000,17404
GDAX.BCH-USD,D,21/02/22,000000,302.9000000,310.9500000,282.3800000,283.1600000,28169
GDAX.BCH-USD,D,22/02/22,000000,283.3300000,295.8000000,275.6400000,293.4800000,24982
GDAX.BCH-USD,D,23/02/22,000000,293.4900000,305.2100000,287.1500000,288.6100000,21476
GDAX.BCH-USD,D,24/02/22,000000,288.5100000,309.8100000,259.8400000,300.9600000,47319
GDAX.BCH-USD,D,25/02/22,000000,301.4200000,312.3500000,290.3500000,309.0400000,26392
GDAX.BCH-USD,D,26/02/22,000000,309.0900000,324.3300000,307.1600000,315.5600000,20721
GDAX.BCH-USD,D,27/02/22,000000,315.6100000,321.5400000,299.3400000,304.1200000,17097
GDAX.BCH-USD,D,28/02/22,000000,304.0200000,339.2700000,300.7000000,339.2700000,26529
GDAX.BCH-USD,D,01/03/22,000000,339.1000000,343.9900000,320.4900000,328.7900000,27036
GDAX.BCH-USD,D,02/03/22,000000,328.7800000,331.5100000,318.0500000,320.3000000,15213
GDAX.BCH-USD,D,03/03/22,000000,320.1500000,322.0100000,305.6500000,315.2900000,21118
GDAX.BCH-USD,D,04/03/22,000000,315.1400000,315.6200000,285.7800000,290.6100000,19375
GDAX.BCH-USD,D,05/03/22,000000,290.6000000,295.5800000,283.5300000,294.4700000,11021
GDAX.BCH-USD,D,06/03/22,000000,294.3100000,296.2600000,281.2800000,282.1100000,11553
GDAX.BCH-USD,D,07/03/22,000000,282.1100000,291.0900000,270.0100000,273.8600000,28946
GDAX.BCH-USD,D,08/03/22,000000,273.8400000,289.7100000,272.3400000,284.4600000,25741
GDAX.BCH-USD,D,09/03/22,000000,284.5900000,318.4500000,283.6700000,307.2500000,35463
GDAX.BCH-USD,D,10/03/22,000000,307.3400000,309.0100000,283.5500000,289.5300000,29524
GDAX.BCH-USD,D,11/03/22,000000,289.5300000,295.0800000,281.2300000,287.7300000,27961
GDAX.BCH-USD,D,12/03/22,000000,287.5700000,294.2600000,287.3000000,290.9000000,16788
GDAX.BCH-USD,D,13/03/22,000000,290.6900000,296.0200000,278.0400000,279.7800000,18620
GDAX.BCH-USD,D,14/03/22,000000,279.6500000,290.0000000,277.0600000,289.4300000,22117
GDAX.BCH-USD,D,15/03/22,000000,289.4900000,292.8700000,281.7200000,289.4600000,22181
GDAX.BCH-USD,D,16/03/22,000000,289.6200000,302.3800000,286.4100000,299.9100000,32679
GDAX.BCH-USD,D,17/03/22,000000,299.9500000,301.2200000,294.5100000,296.3600000,14621
GDAX.BCH-USD,D,18/03/22,000000,296.2900000,306.7400000,290.6400000,305.7100000,21854
GDAX.BCH-USD,D,19/03/22,000000,305.6600000,328.8100000,305.6600000,328.0100000,29198
GDAX.BCH-USD,D,20/03/22,000000,328.0300000,332.8100000,315.6600000,327.7400000,26436
GDAX.BCH-USD,D,21/03/22,000000,327.9900000,340.6100000,320.3500000,334.9300000,33607
GDAX.BCH-USD,D,22/03/22,000000,334.8900000,387.0000000,334.3800000,375.5400000,73395
GDAX.BCH-USD,D,23/03/22,000000,375.3700000,384.5300000,353.2800000,364.0600000,51253
GDAX.BCH-USD,D,24/03/22,000000,364.0400000,367.8600000,351.8700000,366.4700000,41599
GDAX.BCH-USD,D,25/03/22,000000,366.5200000,374.6700000,353.1200000,365.2100000,50416
GDAX.BCH-USD,D,26/03/22,000000,365.3500000,366.5500000,356.8300000,362.0700000,18240
GDAX.BCH-USD,D,27/03/22,000000,362.1800000,377.3900000,354.9600000,376.7800000,21222
GDAX.BCH-USD,D,28/03/22,000000,376.7600000,385.9500000,363.0500000,368.1000000,34158
GDAX.BCH-USD,D,29/03/22,000000,368.4000000,387.7400000,366.4400000,372.3400000,29826
GDAX.BCH-USD,D,30/03/22,000000,372.2600000,386.7500000,363.0800000,380.1300000,35129
GDAX.BCH-USD,D,31/03/22,000000,380.0300000,391.3800000,362.5400000,384.1500000,37458
GDAX.BCH-USD,D,01/04/22,000000,384.2100000,389.6100000,363.3100000,377.3500000,27675
GDAX.BCH-USD,D,02/04/22,000000,377.4100000,383.0500000,370.2600000,373.1500000,17426
GDAX.BCH-USD,D,03/04/22,000000,373.0300000,381.3000000,368.3100000,378.7800000,14815
GDAX.BCH-USD,D,04/04/22,000000,378.8500000,379.6400000,362.6800000,376.1100000,22647
GDAX.BCH-USD,D,05/04/22,000000,376.2000000,382.2500000,365.0000000,365.3300000,15231
GDAX.BCH-USD,D,06/04/22,000000,365.3000000,368.2200000,329.1800000,331.0000000,27593
GDAX.BCH-USD,D,07/04/22,000000,330.8000000,339.9200000,326.0600000,336.0900000,18115
GDAX.BCH-USD,D,08/04/22,000000,335.8600000,338.6700000,320.7400000,323.3800000,15564
GDAX.BCH-USD,D,09/04/22,000000,323.2200000,327.8100000,321.5100000,326.0800000,7614
GDAX.BCH-USD,D,10/04/22,000000,326.5800000,331.8200000,323.0300000,325.0300000,978
